"CYP51A1","HS3ST1","SLC25A13","AASS","CHDH","AGPS","MRI1","HEXB","GALC","OAT","PFKP","ASNS","PLD1","PGM1","AKR1B1","SMOX","CERS4","PHGDH","XYLB","PTGS1","PLA2G3","CERK","NME3","NME4","SLC7A5","XYLT1","FAH","SQLE","GALK1","ALDOC","AADAT","SC5D","CHPT1","ENO2","GNPDA1","HGD","DHCR24","AGMAT","B4GALT2","B4GALT6","GDA","PPP1R3C","EPHX2","CHST3","PFKFB2","CHPF","HS3ST3B1","NT5C","ASL","SGPP1","IDUA","MPST","IVD","DCTD","CDO1","GAMT","ASS1","BHMT2","PSAT1","GLUL","HS6ST1","PAOX","QDPR","HK1","ST3GAL2","CBR1","HK2","ALDH4A1","CBS","GYG1","ALDH7A1","CRYL1","GPT2","CKB","TK2","ENTPD3","CERS6","HPSE","PC","CHST2","GPX2","B3GNT3","SLC36A4","NQO1","SGSH","PYCR1","NAT8L"
5.841973119,0,5.873813198,3.695993813,0.111031312,5.411765185,3.66448284,8.118422024,5.375039431,6.204571144,6.179112901,7.718361626,3.612352499,6.300306796,0.879705766,4.680886921,5.401220862,9.137605984,2.66448284,5.129283017,0.070389328,4.368069877,2.438292852,7.167618855,7.327866971,4.432291338,6.024142346,5.814037648,5.374343989,6.136478518,0.070389328,4.916476644,5.629939409,3.353323291,5.626731151,0.632268215,7.618972739,2.150559677,4.796493929,2.996388746,0.084064265,0,0.070389328,0.028569152,2.5360529,4.316869805,0.014355293,5.8899602,6.114575251,0.070389328,4.157852169,5.933808662,6.018589668,5.97384084,0.056583528,4.794935663,0.757023247,0.014355293,0.526068812,9.055933129,3.475084883,0.250961574,5.438958148,6.135452784,4.244125943,0.275007047,5.691813297,3.753818443,0.695993813,5.868390453,0.622930351,5.830863757,6.731726323,3.86393845,4.534186139,0.042644337,5.073391816,4.590362488,4.026800059,3.64038956,0.50589093,0.084064265,3.614709844,2.794935663,0.111031312,0.575312331,3.416839742
4.230356745,2.666756592,3.761285273,2.042644337,0.622930351,4.178714641,3.930737338,7.820817182,0.014355293,5.131342539,6.376950171,7.898994315,2.726831217,4.757556689,9.109647858,5.843481425,1.286881148,5.567727963,0.422233001,0.918386234,0.028569152,4.613531653,2.13422094,4.418864577,8.29351763,0.028569152,4.939696741,3.548436625,4.59812696,2.587364991,0,3.554588852,4.396433531,5.926948248,4.289834465,4.355439197,5.499208091,0.028569152,5.672990994,1.495695163,0.084064265,0.137503524,3.455491621,3.798050515,2.983677695,5.792855352,0.214124805,6.734438666,3.913607512,4.164303583,3.887525271,6.358079723,4.944858446,6.406502657,0.250961574,6.1959381,6.998082647,0.214124805,8.279889112,3.970853654,3.970853654,2.50589093,5.18705509,4.770829046,3.19061486,4.972692654,3.87282876,3.27351589,7.108315355,4.852498299,5.051807107,4.108524457,5.381975479,4.599317794,4.926948248,0,3.884597921,0,2.678071905,0.464668267,0.687060688,2.922197848,0.097610797,1.589763487,4.182692298,8.024918018,2.895302621
6.423241996,0.389566812,4.148120631,1.232660757,4.635754391,4.906890596,4.926473911,7.692929286,3.521050737,7.045268215,2.72900887,5.148934105,1.948600847,5.819157224,2.684818738,4.472487771,0.918386234,5.859472667,2.592158002,2.313245852,0,4.460742564,6.415150205,5.746043983,5.438292852,0.111031312,3.08236197,3.657640005,3.704871964,4.063502942,3.142413438,4.64385619,5.985955755,4.880195729,5.448570626,0.263034406,6.612647378,0.411426246,5.305240966,1.914564523,5.619413011,1.765534746,3.275007047,4.981852653,4.647890091,6.799087306,0.097610797,5.189824559,4.63343121,3.606442228,3.67468662,5.208283138,1.22650853,5.700717133,0.263034406,4.221877081,8.62058641,0.014355293,6.615887074,8.41460068,5.56315813,2.910732662,5.792855352,5.904965719,1.070389328,7.73782194,4.244887059,3.793895883,5.499208091,5.264911693,5.651625784,5.817623258,4.72410452,5.73714592,4.089159132,0.22650853,4.309612772,5.124741692,4.723012396,3.57167681,4.914564523,6.399512924,4.384740587,9.017142464,6.162693432,5.767389962,1.207892852
6.358079723,0.613531653,4.361066489,1.257010618,2.22650853,4.317593505,3.830863757,7.274541226,0.150559677,5.118525849,6.04679661,6.434628228,1.879705766,5.013015536,1.042644337,4.769242795,0.028569152,6.165510018,1.641546029,0.855989697,1.384049807,4.017921908,5.849248703,7.247452865,7.342785837,0.028569152,4.604664415,4.679198571,4.268284667,4.175524601,2.666756592,5.12722055,3.612352499,4.032982417,5.531693361,4.993221467,7.481153605,2.121015401,5.06436554,1.944858446,1.15704371,0.056583528,1.799087306,1.835924074,3.341985747,4.64385619,0.333423734,5.46760555,3.893362211,4.092545742,1.459431619,4.820178962,4.999549087,6.647890091,0,4.509695842,5.169123281,0.056583528,6.824386003,6.816855662,3.545968369,1.752748591,5.376429311,3.847996907,2.353323291,0.475084883,4.578938713,3.537296067,6.086826218,4.71918344,5.497612366,3.224966365,4.675815931,3.864928972,3.760220946,1.232660757,3.489286023,2.10433666,2.62058641,1.021479727,0.286881148,1.042644337,0.028569152,1.042644337,4.323370069,7.400794067,1.769771739
0.632268215,0.042644337,2.375734539,0.042644337,0.042644337,5.669026766,4.43629512,5.335569006,2.941106311,6.303232785,6.648465443,4.64731451,0.286881148,4.933572638,7.228337712,1.298658316,0.150559677,7.925643447,2.673556424,0.150559677,0,4.653633311,4.054848477,4.772941338,6.853247167,0.070389328,4.21023299,6.573344228,3.987320866,2.381283373,0.070389328,2.847996907,4.450221496,6.98572811,4.645586386,0.545968369,5.395748328,0.687060688,0.286881148,4.313971371,0.084064265,0.042644337,5.768449015,0.084064265,2.589763487,2.021479727,1.14404637,5.053980168,2.634593268,3.381283373,3.350497247,0.201633861,5.678071905,6.505414609,0,5.535119822,1.782408565,0.028569152,6.168321116,7.180406485,6.681589817,0,5.053980168,5.558573776,3.670160514,3.784503983,5.686220365,2.865918815,3.716990894,4.482202926,0.411426246,3.145677455,0.333423734,1.150559677,3.423578171,0.070389328,4.240314329,0.097610797,3.427606173,5.339493738,0.847996907,0.163498732,4.698218478,3.568032105,0.163498732,4.414135533,1.321928095
4.211790976,0.084064265,4.698218478,4.254745198,1,5.380937195,4.788685711,7.851686586,2.508428653,7.176721693,6.949067966,5.026800059,2.650764559,5.532940288,0.918386234,3.310340121,4.09592442,7.905206469,3.255500733,0.321928095,0.056583528,5.591260525,5.46760555,7.223229457,6.858354058,0.378511623,4.815575429,4.994127114,4.72628629,6.74819285,3.023255352,4.96208625,5.204766751,6.115407855,5.885330315,0.070389328,4.954661621,1.207892852,5.946964741,0.632268215,0.070389328,1.650764559,1.584962501,4.188242656,1.996388746,6.491051376,0.056583528,5.152589069,4.448900951,4.053111336,2.572889668,5.887281552,6.206721357,6.964167561,0.137503524,5.697106574,2.448900951,0.565597176,6.798569004,7.258518925,4.404630684,1.427606173,5.446587085,6.673415087,4.265286858,6.148527425,6.110196178,4.649040566,3.894332742,5.491532462,6.924693758,2.570462931,5.549669171,8.077777073,4.075532631,0.056583528,3.753818443,3.066950244,3.653060017,0.565597176,0.831877241,0.070389328,3.0721058,8.226749344,5.305970521,5.28169825,2.841973119
7.449726433,0.695993813,5.536674618,3.892391026,1.627606838,6.218781168,4.224966365,7.074783707,4.239550797,6.669593751,8.309112508,6.07317756,2.22650853,5.907852072,7.791748966,4.505255801,4.404630684,6.260590275,2.702657543,0.214124805,0.659924558,3.667892125,6.635899466,5.847746417,8.922376271,1.070389328,4.420212891,6.557961427,4.555816155,5.085764554,3.462052319,5.830863757,6.072963272,4.139142019,5.952566541,2.147306699,8.251955736,2.344828497,5.37920506,2.010779839,3.841973119,0.056583528,4.428946345,4.612942196,3.068670811,5.913846824,0.659924558,5.904965719,5.554895775,4.302319051,0.948600847,5.892391026,5.279099802,6.34251919,0.042644337,2.887525271,5.070818638,0,6.575312331,6.796883233,3.730096466,1.3950628,4.713695815,3.944858446,3.619413011,6.495375381,4.632268215,3.615887074,4.967629753,5.177917792,6.382667253,2.711494907,3.03562391,1.367371066,3.749534268,0.070389328,4.469234794,2.263034406,2.111031312,0.739848103,0.124328135,3.195347598,4.259272487,8.187896384,4.653060017,6.110196178,2.176322773
6.558420713,1.650764559,4.21800615,1.811471031,2.49057013,4.530445355,1.910732662,6.991975274,0.214124805,7.379724919,5.601696516,5.626731151,2.182692298,5.894332742,1.752748591,3.049630768,0.189033824,6.616622355,1.918386234,1.257010618,4.391630262,4.28169825,6.244887059,6.069100632,7.147103144,2.500802053,4.609991295,6.187451054,3.77925972,4.988230223,2.897240426,5.826802684,3.922197848,5.040454121,5.843481425,2.548436625,7.118422024,5.260402093,5.498570013,2.386810946,2.488000771,0,4.081510068,0.042644337,3.63343121,5.628773595,0.411426246,5.189033824,6.283921772,2.247927513,2.575312331,5.916954279,6.148324042,6.855491443,0.084064265,0.50589093,7.618312081,0.189033824,6.830356747,4.581351247,4.994579724,1.361768359,6.29038754,4.981852653,2.451540833,7.024474828,4.862947248,4.319039816,3.600507645,4.255500733,6.987889281,4.860962798,5.427606173,6.305240966,4.205548911,0.042644337,4.739848103,3.761285273,4.169123281,0.028569152,6.222650022,4.234194723,1.981852653,6.469885976,4.275752049,6.830610274,3.282439805
6.69668939,2.939226578,4.727920455,2.528571319,0.214124805,5.044831233,4.169925001,7.174426394,4.737686761,6.392832579,5.351204277,6.604219619,2.737686761,6.136683578,8.145116978,3.026800059,0.097610797,5.417177412,2.304511042,0.070389328,0.137503524,4.000901403,6.328585177,7.424418266,1.189033824,0.042644337,6.275193334,3.910732662,4.187451054,3.444932049,2.028569152,5.386810946,3.012568674,5.315058966,6.057883449,0.333423734,6.267723052,1.448900951,5.292413668,1.389566812,0.097610797,0.214124805,3.23878686,3.999098034,4.752213368,5.328046556,0.014355293,5.72628629,5.282439805,3.721372659,4.263034406,5.233427944,5.810443104,5.155425432,0.042644337,5.502394256,7.115719958,0.042644337,7.252476214,6.312882955,3.100977648,1.516015147,5.110196178,5.659353759,1.545968369,7.184577849,4.11353382,2.944858446,6.717128026,4.447579197,6.414642958,2.965322548,4.83491343,4.648465443,4.106850796,1.189033824,4.178714641,1.867896464,3.935459748,1.327687364,0.59454855,4.590961241,4.003602237,7.563615766,4.595145568,7.239455327,0.22650853
5.343763122,0.641546029,4.799087306,3.385431037,2.937344392,4.213347282,3.809414444,7.755688777,0.070389328,4.675815931,6.931446685,5.573798644,2.773996325,4.902556005,7.663202279,3.555816155,2.40053793,6.893483563,2.480265122,5.10433666,0.23878686,3.50589093,4.446917865,6.333781501,5.961160258,0.056583528,4.11353382,0.333423734,4.818134761,5.750070486,0.879705766,3.758089934,4.478324711,5.325530332,6.21042783,5.272769732,7.264536431,0.070389328,5.082787732,1.454175893,4.692092375,0.333423734,4.22650853,3.948600847,3.586164246,4.440952198,0.056583528,3.297191417,4.691534165,3.292781749,3.510961919,4.286881148,5.442280035,4.708187236,0.042644337,2.782408565,4.08491466,0.084064265,6.712320641,5.976363636,8.135144922,0.910732662,4.224194664,4.471837762,3.553360503,0.378511623,2.813524689,4.397802962,7.586989865,5.177120503,5.916954279,4.00270252,3.650764559,3.868884273,4.849498932,0.042644337,4.154615611,2.182692298,3.066950244,3.57167681,0.378511623,3.714795011,3.460742564,10.30286736,5.763145958,6.463033855,1.773996325
